iso3,pays_fr,annee,population
BTN,Bhoutan,2012,717279.0
BTN,Bhoutan,2013,725273.0
BTN,Bhoutan,2014,733139.0
BTN,Bhoutan,2015,740618.0
BTN,Bhoutan,2016,747866.0
BTN,Bhoutan,2017,754335.0
BTN,Bhoutan,2018,759759.0
BTN,Bhoutan,2019,764824.0
BTN,Bhoutan,2020,770006.0
BTN,Bhoutan,2021,775442.0
BTN,Bhoutan,2022,780914.0
BTN,Bhoutan,2023,786385.0
BTN,Bhoutan,2024,791524.0
CHN,Chine,2012,1354190000.0
CHN,Chine,2013,1363240000.0
CHN,Chine,2014,1371860000.0
CHN,Chine,2015,1379860000.0
CHN,Chine,2016,1387790000.0
CHN,Chine,2017,1396215000.0
CHN,Chine,2018,1402760000.0
CHN,Chine,2019,1407745000.0
CHN,Chine,2020,1411100000.0
CHN,Chine,2021,1412360000.0
CHN,Chine,2022,1412175000.0
CHN,Chine,2023,1410710000.0
CHN,Chine,2024,1408975000.0
DEU,Allemagne,2012,80425823.0
DEU,Allemagne,2013,80645605.0
DEU,Allemagne,2014,80982500.0
DEU,Allemagne,2015,81686611.0
DEU,Allemagne,2016,82348669.0
DEU,Allemagne,2017,82657002.0
DEU,Allemagne,2018,82905782.0
DEU,Allemagne,2019,83092962.0
DEU,Allemagne,2020,83160871.0
DEU,Allemagne,2021,83196078.0
DEU,Allemagne,2022,83177813.0
DEU,Allemagne,2023,83287273.0
DEU,Allemagne,2024,83516593.0
DNK,Danemark,2012,5591572.0
DNK,Danemark,2013,5614932.0
DNK,Danemark,2014,5643475.0
DNK,Danemark,2015,5683483.0
DNK,Danemark,2016,5728010.0
DNK,Danemark,2017,5764980.0
DNK,Danemark,2018,5793636.0
DNK,Danemark,2019,5814422.0
DNK,Danemark,2020,5831404.0
DNK,Danemark,2021,5856733.0
DNK,Danemark,2022,5903037.0
DNK,Danemark,2023,5946952.0
DNK,Danemark,2024,5976992.0
ESP,Espagne,2012,46773055.0
ESP,Espagne,2013,46604197.0
ESP,Espagne,2014,46460733.0
ESP,Espagne,2015,46422303.0
ESP,Espagne,2016,46458139.0
ESP,Espagne,2017,46571232.0
ESP,Espagne,2018,46782011.0
ESP,Espagne,2019,47118501.0
ESP,Espagne,2020,47359424.0
ESP,Espagne,2021,47443821.0
ESP,Espagne,2022,47786102.0
ESP,Espagne,2023,48352528.0
ESP,Espagne,2024,48848840.0
FIN,Finlande,2012,5413971.0
FIN,Finlande,2013,5438972.0
FIN,Finlande,2014,5461512.0
FIN,Finlande,2015,5479531.0
FIN,Finlande,2016,5495303.0
FIN,Finlande,2017,5508214.0
FIN,Finlande,2018,5515525.0
FIN,Finlande,2019,5521606.0
FIN,Finlande,2020,5529543.0
FIN,Finlande,2021,5541017.0
FIN,Finlande,2022,5556106.0
FIN,Finlande,2023,5583911.0
FIN,Finlande,2024,5619911.0
FRA,France,2012,65657659.0
FRA,France,2013,65997932.0
FRA,France,2014,66312067.0
FRA,France,2015,66548272.0
FRA,France,2016,66724104.0
FRA,France,2017,66918020.0
FRA,France,2018,67158348.0
FRA,France,2019,67382061.0
FRA,France,2020,67601110.0
FRA,France,2021,67842811.0
FRA,France,2022,68184457.0
FRA,France,2023,68372286.0
FRA,France,2024,68551653.0
ISL,Islande,2012,320716.0
ISL,Islande,2013,323764.0
ISL,Islande,2014,327386.0
ISL,Islande,2015,330815.0
ISL,Islande,2016,335439.0
ISL,Islande,2017,343400.0
ISL,Islande,2018,352721.0
ISL,Islande,2019,360563.0
ISL,Islande,2020,366463.0
ISL,Islande,2021,372520.0
ISL,Islande,2022,382003.0
ISL,Islande,2023,385663.0
ISL,Islande,2024,386506.0
ITA,Italie,2012,60191247.0
ITA,Italie,2013,60311613.0
ITA,Italie,2014,60320707.0
ITA,Italie,2015,60229605.0
ITA,Italie,2016,60115223.0
ITA,Italie,2017,60002252.0
ITA,Italie,2018,60148658.0
ITA,Italie,2019,59729081.0
ITA,Italie,2020,59438851.0
ITA,Italie,2021,59133173.0
ITA,Italie,2022,59013667.0
ITA,Italie,2023,58984216.0
ITA,Italie,2024,58952704.0
JPN,Japon,2012,127629000.0
JPN,Japon,2013,127445000.0
JPN,Japon,2014,127276000.0
JPN,Japon,2015,127141000.0
JPN,Japon,2016,127076000.0
JPN,Japon,2017,126972000.0
JPN,Japon,2018,126811000.0
JPN,Japon,2019,126633000.0
JPN,Japon,2020,126261000.0
JPN,Japon,2021,125681593.0
JPN,Japon,2022,125124989.0
JPN,Japon,2023,124516650.0
JPN,Japon,2024,123975371.0
KOR,Corée du Sud,2012,50199853.0
KOR,Corée du Sud,2013,50428893.0
KOR,Corée du Sud,2014,50746659.0
KOR,Corée du Sud,2015,51014947.0
KOR,Corée du Sud,2016,51217803.0
KOR,Corée du Sud,2017,51361911.0
KOR,Corée du Sud,2018,51585058.0
KOR,Corée du Sud,2019,51764822.0
KOR,Corée du Sud,2020,51836239.0
KOR,Corée du Sud,2021,51769539.0
KOR,Corée du Sud,2022,51672569.0
KOR,Corée du Sud,2023,51712619.0
KOR,Corée du Sud,2024,51751065.0
NOR,Norvège,2012,5018573.0
NOR,Norvège,2013,5079623.0
NOR,Norvège,2014,5137232.0
NOR,Norvège,2015,5188607.0
NOR,Norvège,2016,5234519.0
NOR,Norvège,2017,5276968.0
NOR,Norvège,2018,5311916.0
NOR,Norvège,2019,5347896.0
NOR,Norvège,2020,5379475.0
NOR,Norvège,2021,5408320.0
NOR,Norvège,2022,5457127.0
NOR,Norvège,2023,5519601.0
NOR,Norvège,2024,5572279.0
SWE,Suède,2012,9519374.0
SWE,Suède,2013,9600379.0
SWE,Suède,2014,9696110.0
SWE,Suède,2015,9799186.0
SWE,Suède,2016,9923085.0
SWE,Suède,2017,10057698.0
SWE,Suède,2018,10175214.0
SWE,Suède,2019,10278887.0
SWE,Suède,2020,10353442.0
SWE,Suède,2021,10415811.0
SWE,Suède,2022,10486941.0
SWE,Suède,2023,10536632.0
SWE,Suède,2024,10569709.0
USA,États-Unis,2012,314339099.0
USA,États-Unis,2013,316726282.0
USA,États-Unis,2014,319257560.0
USA,États-Unis,2015,321815121.0
USA,États-Unis,2016,324353340.0
USA,États-Unis,2017,326608609.0
USA,États-Unis,2018,328529577.0
USA,États-Unis,2019,330226227.0
USA,États-Unis,2020,331577720.0
USA,États-Unis,2021,332099760.0
USA,États-Unis,2022,334017321.0
USA,États-Unis,2023,336806231.0
USA,États-Unis,2024,340110988.0
