annee,Union européenne (27),États-Unis,Chine,Reste du monde
1990,28.38,26.01,1.58,44.03
1991,28.12,25.74,1.61,44.52
1992,28.92,25.52,1.68,43.88
1993,25.99,26.4,1.72,45.89
1994,25.6,26.06,2.03,46.31
1995,26.56,24.45,2.36,46.63
1996,26.38,25.25,2.72,45.65
1997,24.27,26.91,3.04,45.78
1998,25.12,28.56,3.27,43.06
1999,24.21,29.38,3.37,43.05
2000,21.5,30.24,3.61,44.65
2001,21.99,31.41,4.02,42.58
2002,23.15,31.23,4.26,41.36
2003,25.37,29.19,4.29,41.14
2004,25.89,27.62,4.49,42.0
2005,24.96,27.22,4.84,42.98
2006,24.59,26.61,5.38,43.43
2007,25.27,24.73,6.16,43.84
2008,25.45,22.97,7.26,44.33
2009,24.34,23.74,8.51,43.41
2010,21.92,22.52,9.27,46.29
2011,21.36,20.99,10.32,47.32
2012,19.39,21.4,11.42,47.79
2013,19.73,21.58,12.49,46.2
2014,19.69,21.92,13.33,45.05
2015,18.06,24.08,14.92,42.95
2016,18.21,24.33,14.91,42.55
2017,18.17,23.8,15.32,42.71
2018,18.49,23.59,16.25,41.67
2019,17.87,24.16,16.46,41.51
2020,18.05,24.51,17.46,39.98
2021,17.83,23.76,18.55,39.87
2022,16.65,25.04,17.91,40.4
2023,17.48,25.57,17.12,39.83
2024,17.57,25.91,16.89,39.64
