annee,PIB/hab France,PIB/hab Allemagne,PIB/hab Italie,PIB/hab Espagne,PIB/hab États-Unis,Écart US/France (%),Écart US/Allemagne (%),Écart US/Italie (%),Écart US/Espagne (%)
2000,26007.0,27474.0,27152.0,21582.0,36330.0,39.7,32.2,33.8,68.3
2001,27347.0,28674.0,28134.0,22952.0,37134.0,35.8,29.5,32.0,61.8
2002,28350.0,29514.0,28833.0,24378.0,37998.0,34.0,28.7,31.8,55.9
2003,28024.0,30301.0,29249.0,25057.0,39490.0,40.9,30.3,35.0,57.6
2004,28921.0,31753.0,29581.0,26160.0,41725.0,44.3,31.4,41.1,59.5
2005,30431.0,32314.0,30138.0,27630.0,44123.0,45.0,36.5,46.4,59.7
2006,32424.0,34741.0,32454.0,30749.0,46302.0,42.8,33.3,42.7,50.6
2007,34066.0,36914.0,34108.0,32536.0,48050.0,41.0,30.2,40.9,47.7
2008,35053.0,38444.0,35422.0,33350.0,48570.0,38.6,26.3,37.1,45.6
2009,34685.0,37574.0,34502.0,32218.0,47195.0,36.1,25.6,36.8,46.5
2010,35908.0,39726.0,34974.0,31805.0,48643.0,35.5,22.4,39.1,52.9
2011,37510.0,43398.0,36392.0,32016.0,50025.0,33.4,15.3,37.5,56.3
2012,37671.0,44229.0,36281.0,31870.0,51708.0,37.3,16.9,42.5,62.2
2013,39583.0,45889.0,36459.0,32614.0,53297.0,34.6,16.1,46.2,63.4
2014,40218.0,47939.0,36666.0,33761.0,55153.0,37.1,15.0,50.4,63.4
2015,40905.0,48545.0,37384.0,35229.0,56849.0,39.0,17.1,52.1,61.4
2016,42880.0,51570.0,40483.0,37613.0,57977.0,35.2,12.4,43.2,54.1
2017,44469.0,54110.0,42142.0,39825.0,60048.0,35.0,11.0,42.5,50.8
2018,46381.0,56273.0,43387.0,41015.0,62876.0,35.6,11.7,44.9,53.3
2019,51130.0,59271.0,46662.0,44043.0,65228.0,27.6,10.1,39.8,48.1
2020,49482.0,58686.0,44436.0,39328.0,64402.0,30.2,9.7,44.9,63.8
2021,52517.0,62531.0,49825.0,44252.0,71307.0,35.8,14.0,43.1,61.1
2022,57043.0,69049.0,57261.0,51399.0,77861.0,36.5,12.8,36.0,51.5
2023,60839.0,71684.0,60030.0,55682.0,82305.0,35.3,14.8,37.1,47.8
2024,62557.0,73552.0,62014.0,57965.0,85810.0,37.2,16.7,38.4,48.0
