iso3,pays,annee,esperance_vie
BTN,Bhoutan,1990,55.81
BTN,Bhoutan,1991,56.45
BTN,Bhoutan,1992,57.21
BTN,Bhoutan,1993,57.91
BTN,Bhoutan,1994,58.4
BTN,Bhoutan,1995,59.28
BTN,Bhoutan,1996,59.98
BTN,Bhoutan,1997,60.64
BTN,Bhoutan,1998,61.32
BTN,Bhoutan,1999,62.03
BTN,Bhoutan,2000,61.84
BTN,Bhoutan,2001,63.32
BTN,Bhoutan,2002,63.98
BTN,Bhoutan,2003,64.66
BTN,Bhoutan,2004,65.29
BTN,Bhoutan,2005,65.88
BTN,Bhoutan,2006,66.5
BTN,Bhoutan,2007,67.15
BTN,Bhoutan,2008,67.73
BTN,Bhoutan,2009,68.16
BTN,Bhoutan,2010,68.76
BTN,Bhoutan,2011,69.28
BTN,Bhoutan,2012,69.76
BTN,Bhoutan,2013,70.16
BTN,Bhoutan,2014,70.5
BTN,Bhoutan,2015,70.8
BTN,Bhoutan,2016,71.12
BTN,Bhoutan,2017,71.41
BTN,Bhoutan,2018,71.71
BTN,Bhoutan,2019,72.0
BTN,Bhoutan,2020,72.25
BTN,Bhoutan,2021,72.45
BTN,Bhoutan,2022,72.75
BTN,Bhoutan,2023,72.97
CHN,Chine,1990,68.16
CHN,Chine,1991,68.61
CHN,Chine,1992,69.06
CHN,Chine,1993,69.49
CHN,Chine,1994,69.83
CHN,Chine,1995,70.36
CHN,Chine,1996,70.82
CHN,Chine,1997,71.23
CHN,Chine,1998,71.6
CHN,Chine,1999,71.95
CHN,Chine,2000,72.29
CHN,Chine,2001,72.68
CHN,Chine,2002,73.03
CHN,Chine,2003,73.39
CHN,Chine,2004,73.73
CHN,Chine,2005,74.08
CHN,Chine,2006,74.4
CHN,Chine,2007,74.79
CHN,Chine,2008,74.83
CHN,Chine,2009,75.32
CHN,Chine,2010,75.67
CHN,Chine,2011,75.89
CHN,Chine,2012,76.2
CHN,Chine,2013,76.45
CHN,Chine,2014,76.71
CHN,Chine,2015,76.97
CHN,Chine,2016,77.21
CHN,Chine,2017,77.24
CHN,Chine,2018,77.71
CHN,Chine,2019,77.94
CHN,Chine,2020,78.02
CHN,Chine,2021,78.12
CHN,Chine,2022,78.2
CHN,Chine,2023,77.95
DEU,Allemagne,1990,75.09
DEU,Allemagne,1991,75.32
DEU,Allemagne,1992,75.82
DEU,Allemagne,1993,75.87
DEU,Allemagne,1994,76.27
DEU,Allemagne,1995,76.42
DEU,Allemagne,1996,76.67
DEU,Allemagne,1997,77.07
DEU,Allemagne,1998,77.48
DEU,Allemagne,1999,77.73
DEU,Allemagne,2000,77.93
DEU,Allemagne,2001,78.33
DEU,Allemagne,2002,78.23
DEU,Allemagne,2003,78.38
DEU,Allemagne,2004,78.68
DEU,Allemagne,2005,78.93
DEU,Allemagne,2006,79.13
DEU,Allemagne,2007,79.53
DEU,Allemagne,2008,79.74
DEU,Allemagne,2009,79.84
DEU,Allemagne,2010,79.99
DEU,Allemagne,2011,80.44
DEU,Allemagne,2012,80.54
DEU,Allemagne,2013,80.49
DEU,Allemagne,2014,81.09
DEU,Allemagne,2015,80.64
DEU,Allemagne,2016,80.99
DEU,Allemagne,2017,80.99
DEU,Allemagne,2018,80.89
DEU,Allemagne,2019,81.29
DEU,Allemagne,2020,81.04
DEU,Allemagne,2021,80.79
DEU,Allemagne,2022,80.61
DEU,Allemagne,2023,81.04
FRA,France,1990,76.6
FRA,France,1991,76.85
FRA,France,1992,77.1
FRA,France,1993,77.3
FRA,France,1994,77.65
FRA,France,1995,77.75
FRA,France,1996,77.95
FRA,France,1997,78.3
FRA,France,1998,78.6
FRA,France,1999,78.76
FRA,France,2000,79.06
FRA,France,2001,79.16
FRA,France,2002,79.26
FRA,France,2003,79.11
FRA,France,2004,80.16
FRA,France,2005,80.16
FRA,France,2006,80.81
FRA,France,2007,81.11
FRA,France,2008,81.21
FRA,France,2009,81.41
FRA,France,2010,81.66
FRA,France,2011,82.11
FRA,France,2012,81.97
FRA,France,2013,82.22
FRA,France,2014,82.72
FRA,France,2015,82.32
FRA,France,2016,82.57
FRA,France,2017,82.58
FRA,France,2018,82.68
FRA,France,2019,82.83
FRA,France,2020,82.18
FRA,France,2021,82.32
FRA,France,2022,82.13
FRA,France,2023,82.83
JPN,Japon,1990,78.84
JPN,Japon,1991,79.04
JPN,Japon,1992,79.08
JPN,Japon,1993,79.3
JPN,Japon,1994,79.7
JPN,Japon,1995,79.54
JPN,Japon,1996,80.22
JPN,Japon,1997,80.42
JPN,Japon,1998,80.5
JPN,Japon,1999,80.46
JPN,Japon,2000,81.08
JPN,Japon,2001,81.42
JPN,Japon,2002,81.69
JPN,Japon,2003,81.76
JPN,Japon,2004,82.03
JPN,Japon,2005,81.96
JPN,Japon,2006,82.32
JPN,Japon,2007,82.51
JPN,Japon,2008,82.59
JPN,Japon,2009,82.93
JPN,Japon,2010,82.84
JPN,Japon,2011,82.59
JPN,Japon,2012,83.1
JPN,Japon,2013,83.33
JPN,Japon,2014,83.59
JPN,Japon,2015,83.79
JPN,Japon,2016,83.98
JPN,Japon,2017,84.1
JPN,Japon,2018,84.21
JPN,Japon,2019,84.36
JPN,Japon,2020,84.56
JPN,Japon,2021,84.45
JPN,Japon,2022,84.0
JPN,Japon,2023,84.04
KOR,Corée du Sud,1990,71.6
KOR,Corée du Sud,1991,72.05
KOR,Corée du Sud,1992,72.5
KOR,Corée du Sud,1993,73.0
KOR,Corée du Sud,1994,73.4
KOR,Corée du Sud,1995,73.7
KOR,Corée du Sud,1996,74.15
KOR,Corée du Sud,1997,74.6
KOR,Corée du Sud,1998,75.0
KOR,Corée du Sud,1999,75.41
KOR,Corée du Sud,2000,75.91
KOR,Corée du Sud,2001,76.41
KOR,Corée du Sud,2002,76.77
KOR,Corée du Sud,2003,77.21
KOR,Corée du Sud,2004,77.67
KOR,Corée du Sud,2005,78.17
KOR,Corée du Sud,2006,78.67
KOR,Corée du Sud,2007,79.12
KOR,Corée du Sud,2008,79.52
KOR,Corée du Sud,2009,79.97
KOR,Corée du Sud,2010,80.12
KOR,Corée du Sud,2011,80.57
KOR,Corée du Sud,2012,80.82
KOR,Corée du Sud,2013,81.27
