annee,Chine,Europe (UE + AELE),Japon,États-Unis
2000,0.87,5.39,4.82,12.79
2001,,6.01,5.42,10.14
2002,,6.67,6.72,14.2
2003,,7.74,6.33,15.97
2004,,8.37,6.75,31.48
2005,,9.12,8.09,34.84
2006,,10.49,9.43,38.9
2007,,14.18,10.42,47.73
2008,3.24,15.0,11.09,48.13
2009,4.27,16.02,10.36,44.94
2010,5.0,15.98,11.42,49.42
2011,5.99,17.12,11.45,45.95
2012,8.0,17.48,12.53,48.15
2013,9.6,18.12,14.19,52.43
2014,10.57,18.41,14.51,56.61
2015,11.67,19.04,14.09,59.29
2016,12.61,21.69,12.81,64.78
2017,13.22,22.9,13.94,67.37
2018,14.19,24.8,13.49,75.62
2019,15.02,26.12,12.97,88.64
2020,19.54,28.32,13.12,92.21
2021,23.64,31.03,14.1,103.9
2022,27.65,32.69,15.07,117.52
2023,33.38,33.73,16.4,130.06
