iso3,pays,annee,depenses_sante_pub_pct_pib
CHN,Chine,2000,0.98
CHN,Chine,2001,0.96
CHN,Chine,2002,1.1
CHN,Chine,2003,1.24
CHN,Chine,2004,1.28
CHN,Chine,2005,1.35
CHN,Chine,2006,1.37
CHN,Chine,2007,1.41
CHN,Chine,2008,1.71
CHN,Chine,2009,2.11
CHN,Chine,2010,2.16
CHN,Chine,2011,2.29
CHN,Chine,2012,2.5
CHN,Chine,2013,2.65
CHN,Chine,2014,2.74
CHN,Chine,2015,2.92
CHN,Chine,2016,2.84
CHN,Chine,2017,2.82
CHN,Chine,2018,2.86
CHN,Chine,2019,2.95
CHN,Chine,2020,3.01
CHN,Chine,2021,2.84
CHN,Chine,2022,3.39
CHN,Chine,2023,3.39
DEU,Allemagne,2000,7.66
DEU,Allemagne,2001,7.68
DEU,Allemagne,2002,7.84
DEU,Allemagne,2003,7.95
DEU,Allemagne,2004,7.6
DEU,Allemagne,2005,7.68
DEU,Allemagne,2006,7.53
DEU,Allemagne,2007,7.43
DEU,Allemagne,2008,7.59
DEU,Allemagne,2009,8.34
DEU,Allemagne,2010,8.24
DEU,Allemagne,2011,7.97
DEU,Allemagne,2012,8.03
DEU,Allemagne,2013,8.25
DEU,Allemagne,2014,8.33
DEU,Allemagne,2015,8.45
DEU,Allemagne,2016,8.53
DEU,Allemagne,2017,8.64
DEU,Allemagne,2018,8.71
DEU,Allemagne,2019,8.9
DEU,Allemagne,2020,9.87
DEU,Allemagne,2021,10.12
DEU,Allemagne,2022,10.02
DEU,Allemagne,2023,9.29
ESP,Espagne,2000,4.85
ESP,Espagne,2001,4.81
ESP,Espagne,2002,4.83
ESP,Espagne,2003,5.37
ESP,Espagne,2004,5.45
ESP,Espagne,2005,5.54
ESP,Espagne,2006,5.64
ESP,Espagne,2007,5.71
ESP,Espagne,2008,6.13
ESP,Espagne,2009,6.81
ESP,Espagne,2010,6.76
ESP,Espagne,2011,6.71
ESP,Espagne,2012,6.57
ESP,Espagne,2013,6.41
ESP,Espagne,2014,6.35
ESP,Espagne,2015,6.45
ESP,Espagne,2016,6.35
ESP,Espagne,2017,6.27
ESP,Espagne,2018,6.28
ESP,Espagne,2019,6.4
ESP,Espagne,2020,7.78
ESP,Espagne,2021,7.51
ESP,Espagne,2022,7.06
ESP,Espagne,2023,6.75
FRA,France,2000,6.99
FRA,France,2001,7.1
FRA,France,2002,7.36
FRA,France,2003,7.36
FRA,France,2004,7.42
FRA,France,2005,7.43
FRA,France,2006,7.41
FRA,France,2007,7.35
FRA,France,2008,7.43
FRA,France,2009,7.98
FRA,France,2010,7.82
FRA,France,2011,7.76
FRA,France,2012,7.89
FRA,France,2013,7.99
FRA,France,2014,8.08
FRA,France,2015,8.23
FRA,France,2016,8.61
FRA,France,2017,8.62
FRA,France,2018,8.5
FRA,France,2019,8.33
FRA,France,2020,9.26
FRA,France,2021,9.25
FRA,France,2022,8.91
FRA,France,2023,7.8
ITA,Italie,2000,5.48
