iso3,pays,annee,fecondite
CHN,Chine,1990,2.514
CHN,Chine,1991,1.934
CHN,Chine,1992,1.776
CHN,Chine,1993,1.691
CHN,Chine,1994,1.628
CHN,Chine,1995,1.588
CHN,Chine,1996,1.554
CHN,Chine,1997,1.527
CHN,Chine,1998,1.522
CHN,Chine,1999,1.53
CHN,Chine,2000,1.628
CHN,Chine,2001,1.563
CHN,Chine,2002,1.566
CHN,Chine,2003,1.57
CHN,Chine,2004,1.605
CHN,Chine,2005,1.624
CHN,Chine,2006,1.644
CHN,Chine,2007,1.666
CHN,Chine,2008,1.701
CHN,Chine,2009,1.714
CHN,Chine,2010,1.687
CHN,Chine,2011,1.668
CHN,Chine,2012,1.798
CHN,Chine,2013,1.714
CHN,Chine,2014,1.769
CHN,Chine,2015,1.67
CHN,Chine,2016,1.772
CHN,Chine,2017,1.795
CHN,Chine,2018,1.539
CHN,Chine,2019,1.496
CHN,Chine,2020,1.236
CHN,Chine,2021,1.117
CHN,Chine,2022,1.034
CHN,Chine,2023,0.999
DEU,Allemagne,1990,1.45
DEU,Allemagne,1991,1.33
DEU,Allemagne,1992,1.29
DEU,Allemagne,1993,1.28
DEU,Allemagne,1994,1.24
DEU,Allemagne,1995,1.25
DEU,Allemagne,1996,1.3
DEU,Allemagne,1997,1.35
DEU,Allemagne,1998,1.36
DEU,Allemagne,1999,1.36
DEU,Allemagne,2000,1.38
DEU,Allemagne,2001,1.35
DEU,Allemagne,2002,1.34
DEU,Allemagne,2003,1.34
DEU,Allemagne,2004,1.36
DEU,Allemagne,2005,1.34
DEU,Allemagne,2006,1.33
DEU,Allemagne,2007,1.37
DEU,Allemagne,2008,1.38
DEU,Allemagne,2009,1.36
DEU,Allemagne,2010,1.39
DEU,Allemagne,2011,1.39
DEU,Allemagne,2012,1.41
DEU,Allemagne,2013,1.42
DEU,Allemagne,2014,1.47
DEU,Allemagne,2015,1.5
DEU,Allemagne,2016,1.6
DEU,Allemagne,2017,1.57
DEU,Allemagne,2018,1.57
DEU,Allemagne,2019,1.54
DEU,Allemagne,2020,1.53
DEU,Allemagne,2021,1.58
DEU,Allemagne,2022,1.455
