iso3,pays,annee,fbcf_pct_pib
CHN,Chine,2000,32.65
CHN,Chine,2001,33.46
CHN,Chine,2002,34.99
CHN,Chine,2003,38.08
CHN,Chine,2004,39.35
CHN,Chine,2005,39.27
CHN,Chine,2006,38.52
CHN,Chine,2007,37.67
CHN,Chine,2008,38.8
CHN,Chine,2009,43.41
CHN,Chine,2010,43.52
CHN,Chine,2011,43.52
CHN,Chine,2012,43.87
CHN,Chine,2013,44.08
CHN,Chine,2014,43.38
CHN,Chine,2015,41.62
CHN,Chine,2016,41.08
CHN,Chine,2017,41.42
CHN,Chine,2018,42.38
CHN,Chine,2019,42.25
CHN,Chine,2020,41.85
CHN,Chine,2021,41.35
CHN,Chine,2022,41.23
CHN,Chine,2023,40.45
DEU,Allemagne,2000,22.88
DEU,Allemagne,2001,21.54
DEU,Allemagne,2002,19.89
DEU,Allemagne,2003,19.26
DEU,Allemagne,2004,18.83
DEU,Allemagne,2005,18.76
DEU,Allemagne,2006,19.46
DEU,Allemagne,2007,19.72
DEU,Allemagne,2008,19.96
DEU,Allemagne,2009,18.84
DEU,Allemagne,2010,19.19
DEU,Allemagne,2011,20.01
DEU,Allemagne,2012,19.97
DEU,Allemagne,2013,19.58
DEU,Allemagne,2014,19.78
DEU,Allemagne,2015,19.75
DEU,Allemagne,2016,20.04
DEU,Allemagne,2017,20.13
DEU,Allemagne,2018,20.82
DEU,Allemagne,2019,21.15
DEU,Allemagne,2020,21.34
DEU,Allemagne,2021,21.18
DEU,Allemagne,2022,21.6
DEU,Allemagne,2023,21.19
ESP,Espagne,2000,25.97
ESP,Espagne,2001,25.9
ESP,Espagne,2002,26.18
ESP,Espagne,2003,27.12
ESP,Espagne,2004,27.83
ESP,Espagne,2005,29.03
ESP,Espagne,2006,30.05
ESP,Espagne,2007,29.88
ESP,Espagne,2008,27.86
ESP,Espagne,2009,23.16
ESP,Espagne,2010,21.87
ESP,Espagne,2011,20.15
ESP,Espagne,2012,18.71
ESP,Espagne,2013,17.6
ESP,Espagne,2014,18.03
ESP,Espagne,2015,18.3
ESP,Espagne,2016,18.19
ESP,Espagne,2017,18.91
ESP,Espagne,2018,19.67
ESP,Espagne,2019,20.31
ESP,Espagne,2020,20.62
ESP,Espagne,2021,20.2
ESP,Espagne,2022,20.49
ESP,Espagne,2023,20.47
FRA,France,2000,20.88
FRA,France,2001,20.86
FRA,France,2002,20.34
FRA,France,2003,20.5
FRA,France,2004,20.84
FRA,France,2005,21.26
FRA,France,2006,21.9
FRA,France,2007,22.59
FRA,France,2008,22.93
FRA,France,2009,21.45
FRA,France,2010,21.48
FRA,France,2011,21.7
FRA,France,2012,21.66
FRA,France,2013,21.27
FRA,France,2014,20.96
FRA,France,2015,20.56
FRA,France,2016,20.92
FRA,France,2017,21.42
FRA,France,2018,21.88
FRA,France,2019,22.42
FRA,France,2020,22.44
FRA,France,2021,23.48
FRA,France,2022,23.49
FRA,France,2023,22.83
ITA,Italie,2000,21.23
ITA,Italie,2001,21.19
ITA,Italie,2002,21.81
ITA,Italie,2003,21.28
ITA,Italie,2004,21.36
ITA,Italie,2005,21.67
ITA,Italie,2006,21.92
ITA,Italie,2007,21.99
ITA,Italie,2008,21.56
ITA,Italie,2009,20.32
ITA,Italie,2010,20.24
ITA,Italie,2011,19.91
ITA,Italie,2012,18.48
ITA,Italie,2013,17.31
ITA,Italie,2014,16.84
ITA,Italie,2015,17.08
ITA,Italie,2016,17.29
ITA,Italie,2017,17.58
ITA,Italie,2018,17.97
ITA,Italie,2019,18.13
ITA,Italie,2020,18.2
ITA,Italie,2021,20.77
ITA,Italie,2022,21.78
ITA,Italie,2023,22.66
JPN,Japon,2000,28.49
JPN,Japon,2001,27.73
JPN,Japon,2002,26.26
JPN,Japon,2003,25.71
JPN,Japon,2004,25.32
JPN,Japon,2005,25.9
JPN,Japon,2006,26.04
JPN,Japon,2007,25.41
JPN,Japon,2008,25.29
JPN,Japon,2009,23.62
JPN,Japon,2010,22.62
JPN,Japon,2011,23.35
JPN,Japon,2012,23.77
JPN,Japon,2013,24.56
JPN,Japon,2014,25.08
JPN,Japon,2015,24.97
JPN,Japon,2016,24.76
JPN,Japon,2017,25.01
JPN,Japon,2018,25.27
JPN,Japon,2019,25.55
JPN,Japon,2020,25.47
JPN,Japon,2021,25.55
JPN,Japon,2022,26.26
JPN,Japon,2023,26.01
KOR,Corée du Sud,2000,31.5
KOR,Corée du Sud,2001,30.51
KOR,Corée du Sud,2002,30.19
KOR,Corée du Sud,2003,31.07
KOR,Corée du Sud,2004,30.91
KOR,Corée du Sud,2005,30.46
KOR,Corée du Sud,2006,30.5
KOR,Corée du Sud,2007,30.07
KOR,Corée du Sud,2008,30.89
KOR,Corée du Sud,2009,30.89
KOR,Corée du Sud,2010,30.46
KOR,Corée du Sud,2011,30.58
KOR,Corée du Sud,2012,29.86
KOR,Corée du Sud,2013,29.23
KOR,Corée du Sud,2014,29.19
KOR,Corée du Sud,2015,29.18
KOR,Corée du Sud,2016,29.87
KOR,Corée du Sud,2017,31.7
KOR,Corée du Sud,2018,30.49
KOR,Corée du Sud,2019,30.11
KOR,Corée du Sud,2020,31.04
KOR,Corée du Sud,2021,31.49
KOR,Corée du Sud,2022,31.93
KOR,Corée du Sud,2023,31.45
USA,États-Unis,2000,23.15
USA,États-Unis,2001,22.54
USA,États-Unis,2002,21.54
USA,États-Unis,2003,21.62
USA,États-Unis,2004,22.13
USA,États-Unis,2005,22.93
USA,États-Unis,2006,23.04
USA,États-Unis,2007,22.32
USA,États-Unis,2008,21.24
USA,États-Unis,2009,18.81
USA,États-Unis,2010,18.31
USA,États-Unis,2011,18.74
USA,États-Unis,2012,19.51
USA,États-Unis,2013,19.8
USA,États-Unis,2014,20.49
USA,États-Unis,2015,20.75
USA,États-Unis,2016,20.8
USA,États-Unis,2017,21.13
USA,États-Unis,2018,21.42
USA,États-Unis,2019,21.49
USA,États-Unis,2020,21.89
USA,États-Unis,2021,21.62
USA,États-Unis,2022,21.71
USA,États-Unis,2023,21.73
