iso3,pays,annee,solde_primaire_pct_pib
CHN,Chine,2000,-2.09
CHN,Chine,2001,-1.85
CHN,Chine,2002,-2.29
CHN,Chine,2003,-1.67
CHN,Chine,2004,-1.03
CHN,Chine,2005,-0.95
CHN,Chine,2006,-0.69
CHN,Chine,2007,0.44
CHN,Chine,2008,0.38
CHN,Chine,2009,-1.3
CHN,Chine,2010,0.09
CHN,Chine,2011,0.39
CHN,Chine,2012,0.18
CHN,Chine,2013,-0.32
CHN,Chine,2014,-0.13
CHN,Chine,2015,-2.0
CHN,Chine,2016,-2.66
CHN,Chine,2017,-2.6
CHN,Chine,2018,-3.41
CHN,Chine,2019,-5.17
CHN,Chine,2020,-8.62
CHN,Chine,2021,-5.01
CHN,Chine,2022,-6.4
CHN,Chine,2023,-5.79
CHN,Chine,2024,-6.39
DEU,Allemagne,2000,4.34
DEU,Allemagne,2001,0.02
DEU,Allemagne,2002,-0.88
DEU,Allemagne,2003,-1.13
DEU,Allemagne,2004,-0.88
DEU,Allemagne,2005,-0.49
DEU,Allemagne,2006,1.21
DEU,Allemagne,2007,3.05
DEU,Allemagne,2008,2.71
DEU,Allemagne,2009,-0.52
DEU,Allemagne,2010,-1.78
DEU,Allemagne,2011,1.63
DEU,Allemagne,2012,2.24
DEU,Allemagne,2013,1.93
DEU,Allemagne,2014,2.32
DEU,Allemagne,2015,2.3
DEU,Allemagne,2016,2.32
DEU,Allemagne,2017,2.37
DEU,Allemagne,2018,2.81
DEU,Allemagne,2019,2.12
DEU,Allemagne,2020,-3.73
DEU,Allemagne,2021,-2.58
DEU,Allemagne,2022,-1.21
DEU,Allemagne,2023,-1.62
DEU,Allemagne,2024,-1.6
ESP,Espagne,2000,2.29
ESP,Espagne,2001,2.51
ESP,Espagne,2002,2.48
ESP,Espagne,2003,2.0
ESP,Espagne,2004,1.92
ESP,Espagne,2005,3.05
ESP,Espagne,2006,4.01
ESP,Espagne,2007,3.53
ESP,Espagne,2008,-2.89
ESP,Espagne,2009,-9.41
ESP,Espagne,2010,-7.43
ESP,Espagne,2011,-7.22
ESP,Espagne,2012,-8.48
ESP,Espagne,2013,-3.92
ESP,Espagne,2014,-2.56
ESP,Espagne,2015,-2.25
ESP,Espagne,2016,-1.53
ESP,Espagne,2017,-0.59
ESP,Espagne,2018,-0.16
ESP,Espagne,2019,-0.78
ESP,Espagne,2020,-7.8
ESP,Espagne,2021,-4.54
ESP,Espagne,2022,-2.32
ESP,Espagne,2023,-1.13
ESP,Espagne,2024,-0.7
FRA,France,2000,1.36
FRA,France,2001,1.36
FRA,France,2002,-0.33
FRA,France,2003,-1.27
FRA,France,2004,-0.85
FRA,France,2005,-0.26
FRA,France,2006,0.22
FRA,France,2007,-0.05
FRA,France,2008,-0.41
FRA,France,2009,-5.14
FRA,France,2010,-4.64
FRA,France,2011,-2.58
FRA,France,2012,-2.54
FRA,France,2013,-2.6
FRA,France,2014,-2.37
FRA,France,2015,-1.86
FRA,France,2016,-1.86
FRA,France,2017,-1.57
FRA,France,2018,-0.55
FRA,France,2019,-0.88
FRA,France,2020,-7.65
FRA,France,2021,-5.2
FRA,France,2022,-2.82
FRA,France,2023,-3.57
FRA,France,2024,-3.71
ITA,Italie,2000,5.42
ITA,Italie,2001,3.1
ITA,Italie,2002,2.47
ITA,Italie,2003,1.5
ITA,Italie,2004,1.21
ITA,Italie,2005,0.18
ITA,Italie,2006,1.2
ITA,Italie,2007,3.36
ITA,Italie,2008,2.45
ITA,Italie,2009,-0.82
ITA,Italie,2010,-0.12
ITA,Italie,2011,1.1
ITA,Italie,2012,2.13
ITA,Italie,2013,1.92
ITA,Italie,2014,1.73
ITA,Italie,2015,1.64
ITA,Italie,2016,1.48
ITA,Italie,2017,1.24
ITA,Italie,2018,1.43
ITA,Italie,2019,1.89
ITA,Italie,2020,-5.96
ITA,Italie,2021,-5.46
ITA,Italie,2022,-4.03
ITA,Italie,2023,-3.59
ITA,Italie,2024,0.44
JPN,Japon,2000,-4.15
JPN,Japon,2001,-3.21
JPN,Japon,2002,-4.52
JPN,Japon,2003,-4.87
JPN,Japon,2004,-2.94
JPN,Japon,2005,-2.21
JPN,Japon,2006,-0.82
JPN,Japon,2007,-0.64
JPN,Japon,2008,-1.79
JPN,Japon,2009,-7.33
JPN,Japon,2010,-6.8
JPN,Japon,2011,-6.68
JPN,Japon,2012,-5.93
JPN,Japon,2013,-5.41
JPN,Japon,2014,-3.47
JPN,Japon,2015,-1.64
JPN,Japon,2016,-1.63
JPN,Japon,2017,-1.27
JPN,Japon,2018,-0.73
JPN,Japon,2019,-1.37
JPN,Japon,2020,-7.42
JPN,Japon,2021,-4.58
JPN,Japon,2022,-2.73
JPN,Japon,2023,-0.83
JPN,Japon,2024,-0.04
KOR,Corée du Sud,2000,4.92
KOR,Corée du Sud,2001,3.4
KOR,Corée du Sud,2002,4.07
KOR,Corée du Sud,2003,2.27
KOR,Corée du Sud,2004,1.01
KOR,Corée du Sud,2005,1.97
KOR,Corée du Sud,2006,2.35
KOR,Corée du Sud,2007,3.68
KOR,Corée du Sud,2008,2.77
KOR,Corée du Sud,2009,1.16
KOR,Corée du Sud,2010,2.58
KOR,Corée du Sud,2011,2.73
KOR,Corée du Sud,2012,2.58
KOR,Corée du Sud,2013,1.64
KOR,Corée du Sud,2014,1.43
KOR,Corée du Sud,2015,1.3
KOR,Corée du Sud,2016,2.32
KOR,Corée du Sud,2017,2.8
KOR,Corée du Sud,2018,3.14
KOR,Corée du Sud,2019,1.03
KOR,Corée du Sud,2020,-1.4
KOR,Corée du Sud,2021,0.68
KOR,Corée du Sud,2022,-0.7
KOR,Corée du Sud,2023,0.26
KOR,Corée du Sud,2024,0.25
USA,États-Unis,2000,6.08
USA,États-Unis,2001,2.71
USA,États-Unis,2002,-0.93
USA,États-Unis,2003,-2.11
USA,États-Unis,2004,-1.68
USA,États-Unis,2005,-0.37
USA,États-Unis,2006,0.74
USA,États-Unis,2007,0.02
USA,États-Unis,2008,-3.84
USA,États-Unis,2009,-10.6
USA,États-Unis,2010,-8.31
USA,États-Unis,2011,-6.84
USA,États-Unis,2012,-5.39
USA,États-Unis,2013,-2.08
USA,États-Unis,2014,-1.55
USA,États-Unis,2015,-1.19
USA,États-Unis,2016,-1.87
USA,États-Unis,2017,-2.27
USA,États-Unis,2018,-2.57
USA,États-Unis,2019,-2.99
USA,États-Unis,2020,-11.59
USA,États-Unis,2021,-8.77
USA,États-Unis,2022,-0.59
USA,États-Unis,2023,-4.21
USA,États-Unis,2024,-4.08
